index,inter_packet_latency_us
1,1002.497
2,999.595
3,998.94
4,1001.06
5,1003.869
6,996.221
7,998.425
8,999.646
9,999.915
10,1000.117
11,1000.166
12,999.756
13,1000.081
14,999.993
15,1000.457
16,999.243
17,1000.051
18,999.894
19,1000.297
20,999.825
21,1000.053
22,999.955
23,999.948
24,1000.016
25,1000.128
26,999.907
27,1000.721
28,999.281
29,1000.058
30,999.864
31,1000.207
32,1002.269
33,997.634
34,1000.082
35,1000.121
36,999.775
37,1000.139
38,999.981
39,1000.108
40,999.689
41,1000.792
42,999.672
43,999.788
44,999.754
45,999.958
46,1000.999
47,999.167
48,1000.279
49,999.648
50,999.956
51,1000.331
52,1000.614
53,999.19
54,999.686
55,1000.851
56,999.547
57,999.558
58,1000.051
59,1000.436
60,999.757
61,999.954
62,1000.073
63,999.944
64,1000.632
65,999.352
66,999.94
67,1000.249
68,999.819
69,1000.082
70,999.806
71,1000.144
72,1000.332
73,999.643
74,999.947
75,1000.39
76,999.648
77,1000.106
78,999.904
79,1000.141
80,999.927
81,999.941
82,1002.192
83,999.8
84,998.142
85,1000.013
86,999.866
87,999.997
88,1000.155
89,999.758
90,999.931
91,1000.521
92,999.578
93,1000.059
94,1000.078
95,999.889
96,1000.076
97,999.914
98,1000.581
99,1000.115
100,999.943
101,999.091
102,1000.376
103,999.962
104,999.887
105,1000.333
106,1000.748
107,999.227
108,1003.964
109,997.373
110,998.413
111,1003.064
112,1001.839
113,1001.578
114,995.977
115,1001.111
116,998.181
117,1001.179
118,1000.811
119,1003.104
120,999.451
121,995.986
122,998.42
123,1000.11
124,999.391
125,1000.978
126,999.032
127,1000.227
128,999.559
129,1000.075
130,999.839
131,1000.555
132,999.713
133,999.906
134,999.889
135,1000.226
136,1002.139
137,997.847
138,1000.882
139,999.281
140,999.765
141,999.96
142,999.902
143,1000.045
144,1000.069
145,999.998
146,999.855
147,1003.786
148,996.212
149,999.957
150,1002.496
151,997.77
152,999.676
153,1000.084
154,1000.609
155,1000.274
156,999.375
157,999.892
158,1000.04
159,1000.269
160,1000.321
161,999.414
162,1000.088
163,1000.907
164,998.906
165,1000.036
166,999.934
167,1000.205
168,1000.054
169,999.739
170,1000.26
171,1001.419
172,998.681
173,999.74
174,1000.673
175,1001.137
176,1000.395
177,997.982
178,1001.529
179,998.774
180,999.484
181,1000.007
182,999.978
183,1000.029
184,999.973
185,999.885
186,1000.065
187,1000.185
188,1000.74
189,999.121
190,1003.087
191,999.418
192,998.124
193,999.865
194,999.371
195,1000.316
196,999.839
197,999.962
198,999.962
199,1000.253
200,999.833
201,999.996
202,999.913
203,1000.195
204,999.755
205,1000.15
206,999.922
207,999.969
208,1000.134
209,999.866
210,999.983
211,1000.513
212,999.675
213,999.842
214,1000
215,999.982
216,1000.143
217,999.884
218,1000.164
219,1000.201
220,999.582
221,1000.069
222,999.959
223,1000.039
224,1000.134
225,999.814
226,999.988
227,1000.182
228,999.898
229,1000.026
230,999.895
231,1000.297
232,999.805
233,1000.067
234,999.869
235,1000.184
236,1000.317
237,999.597
238,999.842
239,1000.29
240,999.801
241,999.914
242,999.769
243,1000.435
244,999.859
245,1000.091
246,999.995
247,1000.011
248,999.886
249,1000.015
250,1000.029
251,1000.095
252,1000.005
253,999.981
254,999.958
255,999.832
256,1000.193
257,999.939
258,999.953
259,1000.791
260,999.313
261,1000.11
262,999.884
263,1000.045
264,999.923
265,1000.128
266,999.656
267,1000.431
268,1000.074
269,999.86
270,999.92
271,1000.348
272,1003.434
273,997.281
274,998.742
275,1000.505
276,999.714
277,1000.143
278,999.793
279,999.821
280,1000.097
281,999.877
282,999.956
283,1000.501
284,999.647
285,1000.034
286,999.955
287,999.959
288,1000.067
289,999.775
290,1000.17
291,1000.207
292,1000.932
293,999.011
294,1000.027
295,1000.044
296,999.852
297,999.934
298,999.997
299,1000.44
300,1001.426
301,998.288
302,999.975
303,1000.057
304,999.894
305,1000.076
306,999.96
307,1000.124
308,1000.023
309,999.787
310,1000.091
311,999.865
312,1000.179
313,1000.026
314,999.863
315,1000.14
316,999.836
317,1000.056
318,999.877
319,1000.428
320,999.831
321,999.76
322,1000.053
323,1000.015
324,1000.021
325,1000.01
326,999.933
327,1000.045
328,1000.076
329,999.965
330,999.924
331,1000.222
332,999.982
333,1000.211
334,1000.046
335,999.559
336,999.999
337,1000.27
338,999.742
339,1000.495
340,1000.011
341,1002.577
342,996.925
343,1000.017
344,1000.16
345,1000.055
346,1001.055
347,999.126
348,1000.537
349,999.156
350,999.839
351,1000.351
352,999.636
353,1000.066
354,999.846
355,1000.311
356,999.797
357,1002.606
358,998.683
359,999.983
360,1001.162
361,997.845
362,999.818
363,1004.059
364,996.069
365,999.68
366,1000.2
367,1000.297
368,999.548
369,1000.317
370,999.715
371,1000.453
372,999.591
373,1000.167
374,999.884
375,1001.34
376,998.699
377,999.996
378,999.834
379,1000.382
380,999.66
381,1000.095
382,999.923
383,999.991
384,1000.05
385,999.901
386,1000.134
387,1000.275
388,999.607
389,1000.14
390,999.997
391,1000.052
392,999.874
393,1000.062
394,999.974
395,1000.201
396,999.783
397,1005.505
398,996.45
399,998.246
400,999.9
401,1000.046
402,1004.351
403,997.727
404,997.922
405,999.849
406,1003.321
407,1000.826
408,996.029
409,999.735
410,1000.042
411,1000.392
412,999.797
413,999.951
414,1000.048
415,999.965
416,999.974
417,999.944
418,999.957
419,1000.445
420,999.645
421,999.891
422,1000.119
423,1000.003
424,999.9
425,1000.017
426,1000.019
427,1000.269
428,999.831
429,999.841
430,1000.194
431,999.893
432,999.929
433,999.99
434,1000.085
435,1000.166
436,999.706
437,1000.085
438,999.994
439,1000
440,1000.106
441,999.889
442,999.919
443,1000.33
444,999.77
